,name,artist,duration,rank,mbid
87,THE GOOD STUFF,KENNY CHESNEY,200.0,88,fbd17fd7-89ed-4500-b5e6-14fd66cf6a80
88,THAT DON'T IMPRESS ME MUCH,SHANIA TWAIN,222.0,89,296ebc3c-c061-449c-8d7c-9a5f9843e079
89,THE LONG WAY HOME,NORAH JONES,173.0,90,b0fbff20-ee9b-4b47-8fd5-d27ff81215c6
90,LONESOME TEARS,BECK,336.0,91,14f09a56-1bf0-470e-bf9b-552ef94d99b0
91,LONESOME TOWN,RICKY NELSON,0.0,92,0dece038-3a00-4632-ac2a-b7d26b30fd70
92,GUESS THINGS HAPPEN THAT WAY,JOHNNY CASH,110.0,93,15b2b779-f842-433f-947f-7936f7cd4584
93,HEY PORTER,JOHNNY CASH,132.0,94,b4b90fd0-539f-4b9b-bdbb-b3bd3fb634b5
94,YOU'RE NOT SORRY,TAYLOR SWIFT,261.0,95,20f265dc-26b1-4ec0-9788-85acb17d7f90
95,SISSYNECK,BECK,232.0,96,58470dfa-ebe7-48a0-a870-78766e91d1d3
96,MEAN,TAYLOR SWIFT,236.0,97,b1a1a847-33c9-4dc2-8c22-15838497c784
97,I GO BACK,KENNY CHESNEY,291.0,98,3da0be52-4600-49eb-b928-0a0ed870a3a4
98,BREATHE,TAYLOR SWIFT,267.0,99,55b11483-8786-4e78-88f5-e0a3e4765e84
99,POOR PLACES,WILCO,341.0,100,1732794b-010a-4903-aae0-87bc23749d85
100,TRANSFIGURATION #1,M. WARD,161.0,101,a00be1fd-ee2f-43b9-ac3e-f70985d1ebd3
101,PEACEFUL EASY FEELING,EAGLES,257.0,102,85af6aa2-3425-4fcd-8632-e2405b10af4b
102,CURBSIDE PROPHET,JASON MRAZ,313.0,103,170a9daa-de19-4ba5-9b05-86b1fbd680fb
103,HEY STEPHEN,TAYLOR SWIFT,256.0,104,be8df2b2-7965-4855-9699-0251a570f18d
104,BARTON HOLLOW,THE CIVIL WARS,0.0,105,426a5d83-9e89-46b1-9c59-9c5ac1b014de
105,MAN! I FEEL LIKE A WOMAN!,SHANIA TWAIN,256.0,106,4206f95d-6843-49cb-9734-68e4e88b929b
106,NOT READY TO MAKE NICE,DIXIE CHICKS,240.0,107,84f946f0-6653-4ce9-83cd-585f060291db
107,MUD ON THE TIRES,BRAD PAISLEY,263.0,108,676625f5-2475-4403-be5e-26522fe7c61d
108,DON'T TAKE YOUR GUNS TO TOWN,JOHNNY CASH,178.0,109,c21b28ad-965c-48fe-9335-b5f277fb7ee9
109,BEER FOR MY HORSES,TOBY KEITH,211.0,110,c88fc0b6-adea-4cb5-b2a4-9370ce54e1a1
110,STICKSHIFTS AND SAFETYBELTS,CAKE,128.0,111,8657c138-fed2-478f-abd7-bf7fe9cc2d68
111,BACK TO DECEMBER,TAYLOR SWIFT,291.0,112,d61b9907-6c58-46cd-ba52-ea0c4119898b
112,BLESS THE BROKEN ROAD,RASCAL FLATTS,226.0,113,f0df33cc-10ee-4bab-9d11-97a1fb111132
113,RESERVATIONS,WILCO,445.0,114,bd33daaa-1150-4349-8df5-e6d5dd658f8d
114,IN MY LIFE,JOHNNY CASH,177.0,115,7b047b75-7be0-4890-94b1-680e992f385d
